HotelID,AccommodationName,LocationID,Type,LocationName,BrandList
DIST0000059729,Best Western Plus Brampton,4,DestinationCountry,Canada,<Brand>EBK</Brand>
DIST0000059740,Best Western Plus Executive Inn,4,DestinationCountry,Canada,<Brand>EBK</Brand>
DIST0000059792,Best Western Plus Roehampton Hotel &amp; Suites,4,DestinationCountry,Canada,<Brand>EBK</Brand>
DIST0000059802,Best Western Plus Toronto Airport Hotel,4,DestinationCountry,Canada,<Brand>EBK</Brand>
DIST0000059849,Best Western Primrose Hotel,4,DestinationCountry,Canada,<Brand>EBK</Brand>
DIST0000059905,Best Western Ville-Marie Hotel &amp; Suites,4,DestinationCountry,Canada,<Brand>EBK</Brand>
DIST0000060266,Bond Place Hotel,4,DestinationCountry,Canada,<Brand>EBK</Brand>
DIST0000060911,Candlewood Suites Montreal Downtown Centre Ville,4,DestinationCountry,Canada,<Brand>EBK</Brand>
DIST0000061435,Celebrities Hotel,4,DestinationCountry,Canada,<Brand>EBK</Brand>
DIST0000061899,Chateau Versailles,4,DestinationCountry,Canada,<Brand>EBK</Brand>
DIST0000062782,Comfort Hotel Downtown,4,DestinationCountry,Canada,<Brand>EBK</Brand>
DIST0000062845,Comfort Inn East,4,DestinationCountry,Canada,<Brand>EBK</Brand>
DIST0000063287,Cosmopolitan Toronto,4,DestinationCountry,Canada,<Brand>EBK</Brand>
DIST0000063461,Courtyard By Marriott Toronto Downtown,4,DestinationCountry,Canada,<Brand>EBK</Brand>
DIST0000063488,Courtyard Mississauga-Airport Corporate Centre West,4,DestinationCountry,Canada,<Brand>EBK</Brand>
DIST0000063688,Crowne Plaza Montreal Airport,4,DestinationCountry,Canada,<Brand>EBK</Brand>
DIST0000063958,Days Hotel And Conference Centre-Toronto Don Valley,4,DestinationCountry,Canada,<Brand>EBK</Brand>
DIST0000063970,Days Inn - Montreal Downtown,4,DestinationCountry,Canada,<Brand>EBK</Brand>
DIST0000063971,Days Inn - Toronto East Lakeview,4,DestinationCountry,Canada,<Brand>EBK</Brand>
DIST0000063975,Days Inn And Conference Centre -  Montreal Airport,4,DestinationCountry,Canada,<Brand>EBK</Brand>
DIST0000064192,Delta Centre-Ville,4,DestinationCountry,Canada,<Brand>EBK</Brand>
DIST0000064193,Delta Chelsea Hotel,4,DestinationCountry,Canada,<Brand>EBK</Brand>
DIST0000064201,Delta Markham,4,DestinationCountry,Canada,<Brand>EBK</Brand>
DIST0000064202,Delta Meadowvale Hotel And Conference Center,4,DestinationCountry,Canada,<Brand>EBK</Brand>
DIST0000064203,Delta Montreal,4,DestinationCountry,Canada,<Brand>EBK</Brand>
DIST0000064207,Delta Toronto Airport West,4,DestinationCountry,Canada,<Brand>EBK</Brand>
DIST0000064812,Doubletree By Hilton Toronto Airport ,4,DestinationCountry,Canada,<Brand>EBK</Brand>
DIST0000065491,Embassy Suites By Hilton Montreal,4,DestinationCountry,Canada,<Brand>EBK</Brand>
DIST0000066090,Fairfield Inn &amp; Suites By Marriott Toronto Brampton,4,DestinationCountry,Canada,<Brand>EBK</Brand>
DIST0000066115,Fairmont - The Queen Elizabeth,4,DestinationCountry,Canada,<Brand>EBK</Brand>
DIST0000066639,Four Points By Sheraton Toronto Airport,4,DestinationCountry,Canada,<Brand>EBK</Brand>
DIST0000066691,Four Seasons Toronto At Yorkville,4,DestinationCountry,Canada,<Brand>EBK</Brand>
DIST0000067396,Gouverneur Ile Charron,4,DestinationCountry,Canada,<Brand>EBK</Brand>
DIST0000067397,Gouverneur Place Dupuis Montreal,4,DestinationCountry,Canada,<Brand>EBK</Brand>
DIST0000067958,Grange Hotel,4,DestinationCountry,Canada,<Brand>EBK</Brand>
DIST0000068388,Hampton Inn By Hilton Toronto Airport Corporate Centre,4,DestinationCountry,Canada,<Brand>EBK</Brand>
DIST0000068389,Hampton Inn By Hilton Toronto-Mississauga,4,DestinationCountry,Canada,<Brand>EBK</Brand>
DIST0000068919,Hilton Garden Inn Montreal Airport,4,DestinationCountry,Canada,<Brand>EBK</Brand>
DIST0000068936,Hilton Garden Inn Toronto Airport West/Mississauga,4,DestinationCountry,Canada,<Brand>EBK</Brand>
DIST0000068937,Hilton Garden Inn Toronto City Centre,4,DestinationCountry,Canada,<Brand>EBK</Brand>
DIST0000068993,Hilton Montreal Bonaventure,4,DestinationCountry,Canada,<Brand>EBK</Brand>
DIST0000069066,Hilton Toronto,4,DestinationCountry,Canada,<Brand>EBK</Brand>
